82 1748
79 42 18
49 81 69
74 48 3
54 81 65
53 71 58
81 32 17
56 45 28
8 30 36
76 20 51
12 72 20
77 68 24
79 50 49
30 34 52
39 8 30
7 44 36
16 5 15
66 40 0
13 54 63
22 31 59
63 26 83
28 72 97
17 9 10
54 50 74
40 64 89
81 2 21
57 3 95
35 40 79
34 68 81
29 24 6
8 37 36
65 52 76
67 5 66
30 57 46
71 22 25
28 56 29
8 5 28
15 6 8
18 68 5
42 53 14
15 12 7
27 75 21
42 29 51
6 10 49
57 24 33
50 27 10
80 72 85
58 9 53
58 66 60
77 0 65
18 42 87
8 43 95
65 51 64
0 77 76
64 46 98
52 62 37
75 35 65
45 10 72
11 30 40
54 70 41
14 66 25
76 61 1
40 53 29
52 76 91
20 45 31
49 73 9
2 60 63
80 70 26
6 81 43
45 68 58
51 49 37
59 63 31
26 66 95
54 31 36
59 58 53
21 56 16
75 73 57
65 7 60
55 47 12
67 46 70
69 23 21
54 33 4
59 51 71
36 13 63
10 65 53
78 3 75
8 0 32
59 68 61
62 74 29
43 34 39
77 6 80
31 36 75
11 6 19
56 31 79
62 24 77
15 41 64
58 29 64
20 79 25
68 23 98
8 12 83
50 65 80
30 37 10
51 6 77
35 27 34
56 19 13
57 37 99
81 16 54
53 73 5
10 77 82
12 7 24
57 11 45
16 61 45
22 54 8
69 0 44
0 39 1
61 25 48
79 70 74
47 32 95
77 73 77
20 28 80
43 29 61
24 3 93
55 67 68
74 68 16
26 25 8
42 73 89
39 45 13
1 48 11
81 61 50
63 22 17
17 19 14
48 30 32
61 24 4
52 61 93
46 30 11
67 29 81
48 51 74
6 2 54
23 63 98
73 34 64
41 16 59
2 65 67
51 48 43
1 59 29
78 62 55
76 7 63
55 39 14
19 63 8
57 42 4
58 35 49
32 18 29
36 46 16
21 3 49
30 48 68
37 80 36
13 56 7
65 41 14
44 31 7
30 43 51
41 21 65
68 75 22
14 47 64
36 27 45
34 33 56
13 61 76
53 15 87
35 31 15
75 48 6
0 33 62
37 1 49
24 81 45
40 18 81
2 28 14
74 69 58
65 4 74
67 25 53
32 74 63
18 13 47
51 55 50
33 56 82
22 61 56
71 50 30
12 62 31
66 13 54
61 38 36
52 24 58
14 30 22
3 46 69
61 81 84
79 75 91
17 3 40
25 23 16
0 44 27
3 73 84
44 21 96
80 77 76
39 11 18
0 32 57
55 25 66
2 9 56
48 22 83
59 17 77
12 40 70
10 62 24
7 61 75
6 47 34
31 53 13
47 70 49
68 31 37
14 35 66
29 43 29
38 10 30
65 59 65
25 54 2
54 6 82
38 58 10
51 8 89
9 66 74
1 70 10
50 13 81
10 56 25
16 69 27
8 9 61
45 54 38
78 5 2
80 74 74
17 70 17
17 69 42
5 44 66
0 80 6
78 39 58
71 47 92
3 37 59
46 78 10
1 72 8
35 55 27
75 24 79
47 34 19
77 75 67
45 52 5
23 69 10
21 81 62
26 22 82
69 57 19
62 25 43
37 27 90
11 18 87
35 19 8
4 64 33
49 62 81
49 53 86
42 57 10
45 26 61
78 74 35
57 7 8
48 49 9
38 63 96
36 37 7
68 58 73
6 37 65
15 43 47
5 77 3
29 8 59
10 51 8
58 0 98
29 21 15
31 38 7
42 76 26
31 50 73
42 7 55
36 78 25
7 43 89
14 29 98
38 78 85
65 34 67
12 58 60
3 53 74
6 69 19
78 11 82
5 17 46
26 23 63
59 15 3
55 75 2
2 43 63
12 5 87
40 24 30
26 67 87
30 35 54
25 62 58
38 69 87
47 31 16
58 13 74
38 67 26
41 67 66
23 0 3
8 16 49
11 17 26
33 78 76
24 14 60
31 9 6
2 22 31
55 54 9
28 49 19
81 59 39
16 14 20
19 54 31
51 35 2
66 63 69
35 23 47
41 63 86
10 70 5
2 51 0
68 62 78
12 6 51
61 28 72
11 77 59
9 73 55
26 46 80
47 42 26
10 25 26
48 6 21
67 14 13
17 13 54
77 52 21
17 24 17
13 28 1
44 69 35
20 35 85
19 70 31
19 12 58
0 30 22
75 38 33
5 3 89
0 72 67
46 20 94
3 10 75
23 14 93
62 30 91
71 77 0
16 59 65
35 1 26
58 62 31
37 71 91
48 24 90
60 12 25
64 8 72
41 69 5
60 28 54
37 62 54
41 24 37
53 39 51
2 63 9
59 74 23
19 47 1
47 60 14
73 55 96
75 56 52
53 74 32
58 15 11
17 56 16
30 23 48
71 38 1
18 3 38
63 68 7
64 40 99
33 29 16
34 19 45
73 22 76
73 76 13
6 9 29
16 62 25
26 15 51
2 53 72
58 65 58
75 29 73
12 26 77
25 73 0
80 47 69
81 42 42
69 8 37
52 75 60
75 44 67
77 72 51
80 60 81
43 8 38
2 0 36
47 58 29
2 35 97
66 44 35
1 65 37
81 50 5
49 66 38
0 36 72
22 16 33
47 35 56
25 20 77
22 74 50
35 51 34
41 11 41
54 15 91
32 71 84
22 56 65
37 54 11
53 55 36
6 67 99
53 9 10
65 27 61
13 18 81
75 63 42
11 26 28
44 32 56
66 26 36
54 27 68
27 26 33
73 79 99
70 68 5
19 4 50
66 0 63
24 32 62
36 2 90
14 61 84
1 7 9
55 57 47
6 0 92
46 77 13
71 3 91
77 40 79
20 48 42
40 69 77
14 48 50
70 19 83
50 5 18
3 24 47
57 9 83
8 39 19
21 74 43
17 30 77
18 5 29
12 14 59
58 27 41
1 60 89
70 57 23
23 16 27
57 36 97
45 14 89
35 57 37
31 28 52
0 71 88
7 48 54
52 33 76
43 9 17
70 7 0
9 52 99
7 41 74
8 20 26
44 5 2
38 16 53
49 6 81
58 7 75
33 63 84
58 14 81
60 71 16
46 24 65
58 79 51
27 45 1
61 69 48
24 73 73
74 27 69
4 56 42
49 78 82
60 81 58
80 78 85
33 39 59
79 23 15
48 71 60
78 31 54
15 20 48
62 34 33
4 78 41
59 53 75
30 42 93
73 44 57
64 36 57
53 49 90
48 50 67
59 37 23
68 47 95
8 76 63
31 24 22
79 68 43
22 51 36
49 20 70
10 9 70
27 43 40
11 9 69
3 62 51
2 3 76
52 11 34
41 27 74
78 56 58
28 10 27
72 80 45
29 46 48
52 30 12
2 57 24
47 79 10
0 40 26
53 11 99
39 15 71
12 76 35
60 66 35
16 64 72
27 66 56
62 55 5
78 68 98
26 40 53
18 73 21
58 53 2
77 5 63
68 69 82
31 8 18
11 79 36
71 30 28
60 53 8
31 14 69
76 38 91
58 60 81
61 74 87
60 13 58
42 52 91
63 10 68
36 79 17
3 42 36
24 67 15
16 72 15
47 29 35
62 48 57
65 31 90
42 21 92
26 13 2
29 4 65
74 49 4
19 74 21
50 42 22
3 54 50
47 5 22
73 50 11
5 50 17
43 12 47
61 22 18
55 27 51
59 54 36
49 7 84
69 48 83
46 40 90
48 76 22
20 49 61
1 78 44
8 1 60
43 15 39
31 44 1
56 7 13
53 33 18
81 29 7
49 51 78
38 57 23
39 32 91
51 42 68
21 0 36
28 8 97
69 17 51
45 22 81
68 38 32
36 26 57
58 64 27
22 60 27
20 70 7
34 17 3
12 70 31
12 63 82
58 50 27
78 15 61
52 78 61
80 22 41
80 20 43
3 65 74
19 50 49
37 32 60
27 52 80
6 80 60
9 80 85
62 26 53
14 77 66
30 52 83
15 25 4
21 9 62
1 33 32
72 61 78
69 18 81
62 27 93
47 72 16
24 76 83
16 46 40
69 34 26
76 55 15
23 58 42
29 14 43
10 24 2
28 66 29
51 13 28
74 26 79
18 33 16
72 77 47
8 6 6
1 0 22
12 81 60
31 23 65
67 13 66
58 48 98
59 29 46
6 50 24
31 77 11
62 29 93
30 31 65
81 72 56
63 17 98
19 24 78
56 13 86
0 13 78
81 38 76
3 48 66
46 43 85
55 51 10
28 54 99
14 24 71
36 68 58
35 66 38
80 30 31
60 80 50
54 64 79
25 31 91
45 8 37
30 0 94
42 75 90
62 76 53
56 67 94
22 48 22
53 37 34
65 79 5
38 80 9
1 15 2
37 4 93
42 30 24
42 17 4
36 15 40
42 25 15
58 36 95
35 68 81
55 36 99
32 15 73
68 22 0
24 30 61
50 31 84
66 71 30
70 33 61
34 61 26
77 18 49
12 46 1
0 1 2
53 34 76
45 35 81
13 21 48
59 10 57
51 12 53
46 25 84
15 54 17
70 63 57
47 59 45
79 54 45
14 19 97
62 41 27
66 27 11
72 41 88
80 69 89
52 32 94
21 29 64
46 18 4
56 28 47
22 71 15
60 46 21
34 73 94
35 14 34
2 58 78
30 69 67
65 57 6
76 28 20
4 55 6
43 45 60
19 60 88
54 79 4
13 47 92
53 76 58
1 5 66
53 67 80
3 50 45
41 70 1
33 13 68
40 65 58
64 30 11
14 31 40
76 74 52
39 53 66
33 51 33
19 34 50
68 45 7
23 29 53
33 19 41
58 33 98
57 48 95
29 33 2
9 5 70
45 32 36
75 3 10
58 49 77
6 79 89
37 11 15
60 21 83
64 67 21
75 4 72
34 81 72
29 54 50
61 1 36
51 16 87
8 63 10
69 14 72
0 12 4
20 56 28
5 37 10
79 43 87
52 80 76
74 2 74
50 53 99
23 18 42
72 10 65
67 42 21
41 75 77
33 52 42
15 13 36
46 76 7
48 55 81
26 76 98
10 28 84
74 39 52
16 60 64
45 51 9
65 32 53
22 10 93
55 7 59
49 39 55
26 6 13
33 37 26
3 80 59
79 1 14
58 12 22
43 79 40
58 45 6
44 63 42
22 72 66
57 70 37
74 1 45
28 4 1
52 26 16
77 11 4
40 0 24
50 59 91
27 53 49
46 1 64
11 65 51
50 33 78
2 76 4
76 3 75
23 52 99
62 56 18
62 47 21
7 30 34
20 61 82
28 60 76
76 1 55
74 67 76
7 31 19
33 59 96
66 15 12
31 33 72
26 28 73
58 11 54
17 63 65
66 32 97
81 9 4
14 25 41
27 30 11
26 36 78
28 40 21
66 56 67
65 25 9
67 77 62
78 33 83
38 4 73
32 2 17
36 35 6
4 58 40
12 50 59
66 33 47
45 78 58
58 1 21
64 5 5
64 70 52
23 68 54
33 42 61
27 28 89
38 19 27
20 43 87
26 49 49
31 81 44
5 38 78
73 58 58
49 64 5
32 54 93
81 5 2
0 27 63
49 4 24
56 33 89
11 42 27
0 34 41
59 18 39
24 7 35
70 78 50
15 32 77
37 79 21
64 26 69
59 62 14
19 79 56
19 61 83
8 34 92
51 63 13
1 30 26
30 72 54
67 81 95
16 17 14
23 2 93
81 7 11
48 44 78
79 21 95
67 58 33
21 13 93
37 52 23
33 16 57
8 64 36
12 37 8
16 50 33
70 5 91
10 42 63
7 42 51
28 21 16
38 2 61
5 80 67
13 2 42
51 31 95
32 10 62
3 31 46
60 59 16
47 69 60
15 2 49
3 78 9
1 73 0
4 65 25
24 49 49
7 58 64
53 8 79
28 14 50
46 49 39
5 74 62
23 76 30
58 21 64
7 73 24
71 45 7
8 35 41
11 78 59
73 32 80
41 25 18
14 28 52
51 56 0
34 27 37
74 30 5
15 79 13
72 71 98
53 51 69
31 56 70
24 5 94
19 52 11
70 17 31
64 24 27
26 59 58
36 34 87
52 37 10
20 65 34
54 52 11
65 24 75
1 20 91
35 79 39
70 47 19
44 57 0
44 74 38
44 49 34
40 72 78
61 56 21
76 42 70
4 71 79
26 77 17
33 81 2
14 20 97
63 13 92
34 15 89
47 46 76
33 69 74
27 7 68
6 46 9
5 40 37
12 0 89
5 32 45
75 77 37
15 42 42
55 58 57
36 23 16
29 39 27
14 56 80
57 0 90
65 28 80
33 77 1
10 49 72
48 15 33
31 30 9
76 73 80
29 9 89
42 35 64
70 6 38
71 54 29
55 80 10
23 44 92
5 30 53
69 27 66
7 78 8
39 40 82
8 36 37
7 3 7
31 13 61
3 47 82
34 74 98
64 69 64
9 12 61
54 10 36
45 19 32
32 43 49
6 27 38
65 23 2
68 30 1
20 52 14
43 78 8
49 23 89
7 68 25
23 65 77
25 61 4
72 73 40
15 66 15
8 14 44
65 70 3
71 4 74
35 36 60
5 72 52
75 60 56
68 52 75
22 30 73
77 16 76
1 75 77
41 20 4
62 77 89
20 12 65
79 25 42
1 57 70
80 54 62
45 53 8
65 56 13
74 3 58
71 28 76
60 23 75
26 48 29
23 79 49
67 73 17
60 47 65
67 40 45
16 45 85
58 37 45
57 4 75
23 5 38
38 70 86
22 40 37
80 50 51
14 12 41
15 1 79
35 44 63
74 9 9
48 25 1
6 31 89
18 35 6
10 16 69
33 80 11
1 54 14
64 25 36
12 77 90
57 20 83
4 9 83
71 44 7
43 36 92
8 56 32
13 75 51
81 13 14
54 59 24
32 76 94
41 5 49
49 8 3
63 41 42
59 21 23
62 12 62
24 9 69
36 11 39
29 0 78
35 2 72
27 81 60
28 24 96
31 15 76
71 43 65
7 53 20
39 66 43
16 67 17
65 0 19
80 81 57
72 53 68
25 44 54
68 74 98
29 81 17
58 75 22
23 20 71
20 57 11
49 35 41
54 24 95
13 52 27
68 17 70
11 21 1
20 71 1
24 13 48
40 44 0
10 78 67
71 2 59
31 10 60
59 8 91
40 10 41
61 3 21
5 46 79
61 55 54
15 64 52
6 25 44
5 39 10
56 81 62
44 9 55
53 54 80
30 49 48
40 39 51
2 49 22
75 34 35
19 5 39
77 31 46
71 79 51
32 33 93
74 41 71
9 11 64
66 47 54
28 27 38
81 25 60
54 55 48
81 20 15
21 8 35
13 57 99
11 10 11
18 69 26
9 19 56
30 67 86
3 28 23
72 81 68
59 79 42
44 77 83
75 71 59
54 30 83
39 18 26
70 31 99
30 77 16
54 39 37
56 44 94
14 75 27
11 24 76
14 42 3
70 42 54
21 45 25
67 51 19
81 79 16
22 8 68
72 45 25
20 81 65
9 22 15
60 18 40
13 60 24
78 77 99
37 50 84
6 73 5
79 27 25
72 59 38
56 58 42
5 63 3
32 47 90
5 11 59
40 8 84
30 26 89
20 66 58
33 75 28
17 31 10
32 46 96
41 80 10
33 14 2
64 35 1
6 49 43
43 57 7
73 75 30
4 48 91
8 61 40
68 60 42
75 80 81
13 68 44
79 6 39
75 72 36
26 61 63
21 67 4
41 49 14
72 39 63
78 55 99
71 59 35
4 57 56
13 70 44
40 15 71
59 12 65
2 29 44
1 46 85
61 50 72
77 10 32
32 81 5
78 25 7
17 55 95
35 74 96
27 46 18
16 30 88
44 4 30
2 62 22
81 30 43
42 50 84
48 38 60
32 50 48
42 9 78
23 77 57
18 40 90
64 52 89
10 8 31
13 26 52
9 64 58
2 69 97
62 1 38
59 5 82
3 41 19
36 65 46
34 46 98
45 48 58
60 22 82
41 8 96
23 81 55
76 32 84
27 8 49
62 23 27
47 53 83
11 71 2
56 21 32
56 17 28
43 72 91
40 78 7
43 70 58
24 46 77
28 48 5
18 49 3
4 23 14
66 23 46
54 47 58
41 12 51
15 21 81
46 11 98
11 61 62
81 60 0
15 67 68
43 22 77
79 28 1
35 65 40
16 68 68
49 79 17
27 72 74
48 80 61
11 73 20
13 58 32
46 67 84
22 41 98
23 35 56
5 57 62
6 23 62
61 7 32
68 29 66
34 32 64
62 58 92
44 65 71
3 1 3
43 13 32
21 59 76
43 76 76
23 17 11
18 74 68
27 32 97
29 11 84
32 72 79
52 48 89
76 26 52
6 61 90
48 20 20
34 7 86
10 43 13
80 18 31
58 40 94
38 26 96
45 11 70
67 75 92
35 34 33
32 13 54
49 41 64
65 12 69
22 57 77
58 72 83
51 7 89
13 3 10
32 65 81
32 57 21
1 64 57
17 42 77
49 37 20
76 19 72
81 76 72
59 64 25
63 47 96
24 61 48
54 7 29
76 75 70
14 71 60
6 63 9
39 20 99
49 13 53
50 68 73
55 35 15
21 42 91
49 68 80
49 50 60
26 64 72
37 38 1
53 7 48
52 1 26
5 73 74
81 80 95
76 56 69
69 66 43
18 19 98
0 63 54
14 16 61
7 0 26
70 24 32
75 10 47
46 65 5
0 59 20
40 12 1
40 57 74
26 39 57
53 36 94
70 77 58
72 56 96
56 46 29
50 24 34
69 81 33
0 14 60
39 68 63
56 64 26
36 63 52
17 64 74
32 0 49
21 47 90
55 56 90
54 45 49
55 34 26
71 19 27
55 2 18
28 29 39
57 18 98
42 80 69
16 41 80
0 50 49
15 30 2
15 38 93
22 14 70
10 80 52
37 81 41
18 24 93
15 36 10
1 21 93
69 61 22
7 32 34
78 73 85
12 55 43
26 18 76
35 38 42
46 47 57
78 16 1
16 21 21
73 28 77
55 46 35
39 16 87
35 56 16
3 30 7
28 42 90
32 75 28
67 30 50
38 9 82
36 72 74
81 40 3
31 19 0
78 22 45
29 1 40
0 60 68
7 57 38
37 69 1
39 29 35
31 46 49
18 37 27
64 56 9
45 5 15
34 1 51
45 12 29
3 58 0
15 46 65
70 23 68
44 70 26
59 34 24
15 69 70
55 21 40
53 77 71
32 37 27
78 80 52
16 73 7
57 33 9
35 3 19
45 61 28
1 45 95
30 55 71
77 25 85
43 77 30
58 4 18
58 69 87
14 62 49
29 65 61
0 69 52
8 73 83
28 55 53
81 10 55
11 31 67
23 59 67
78 71 9
36 5 56
38 72 13
11 60 2
14 64 6
46 81 23
21 27 52
4 7 37
67 12 83
80 65 48
22 73 81
30 78 52
65 67 26
11 55 41
64 73 79
25 2 50
19 30 54
41 48 7
22 23 91
18 30 39
21 60 72
60 48 79
30 32 62
36 12 86
13 38 47
47 3 82
33 64 87
102 1377
36 97 62
63 74 39
56 11 75
30 70 12
78 56 46
91 72 23
47 90 19
86 1 34
24 23 0
53 11 2
40 36 10
81 96 72
101 45 76
32 23 32
52 94 43
49 17 43
95 4 22
64 60 58
79 1 23
98 39 26
31 63 64
22 58 85
30 37 59
0 27 47
19 60 75
40 59 14
47 98 82
83 2 53
6 54 81
93 10 10
61 44 43
3 100 43
89 26 61
82 92 28
19 31 19
11 69 30
63 71 20
5 9 93
45 32 56
87 65 35
39 70 13
59 35 31
97 62 20
73 24 78
88 61 33
54 47 75
57 69 40
34 58 99
39 20 92
31 59 29
25 76 0
28 87 47
58 12 16
73 36 92
70 31 66
18 93 60
14 98 35
6 27 53
80 14 34
50 79 10
25 50 11
30 55 54
93 58 90
92 61 40
85 52 86
37 69 34
51 50 12
74 90 48
83 63 75
39 88 70
16 0 24
45 1 90
66 65 33
19 95 99
85 19 39
87 40 39
48 46 86
62 61 9
81 17 84
52 29 98
5 36 49
92 7 84
60 63 98
27 94 88
20 52 97
74 73 50
67 38 7
36 1 79
33 18 81
20 71 78
66 5 21
44 29 23
37 74 74
28 93 54
18 48 65
4 64 57
53 15 96
98 100 85
62 18 13
11 72 88
97 7 7
53 20 57
61 26 55
96 93 59
73 91 35
36 86 45
20 87 5
24 78 25
35 45 21
12 30 59
60 8 47
6 94 44
56 88 15
95 26 79
101 58 24
100 89 94
48 91 24
22 55 77
94 20 52
48 51 76
93 52 21
41 28 89
83 42 31
92 66 93
97 40 64
81 77 20
3 85 75
78 26 39
11 101 94
22 27 68
57 44 0
49 75 30
62 56 9
89 40 20
84 59 15
32 5 49
90 99 25
63 56 66
96 69 70
4 16 89
55 93 77
13 95 1
77 92 36
8 22 38
8 50 58
61 77 4
85 92 44
28 40 4
30 54 37
24 79 51
88 74 81
76 59 68
97 98 14
42 78 78
17 61 54
10 98 96
99 100 61
91 49 77
42 52 42
53 7 39
4 7 93
45 18 43
42 86 37
53 25 59
25 67 96
64 53 16
21 92 13
22 35 37
72 62 30
92 42 98
67 58 19
58 1 14
65 5 55
61 89 86
74 44 19
12 18 10
40 29 95
53 6 90
8 94 19
97 55 28
80 101 52
73 40 58
84 7 65
88 42 14
70 86 58
66 83 26
40 71 43
68 59 48
68 99 41
6 37 72
15 87 1
44 100 93
76 86 11
36 10 59
9 100 10
53 30 39
11 20 76
78 93 12
87 13 89
10 25 67
79 86 46
6 88 62
30 24 13
94 29 94
67 44 74
12 49 69
13 37 7
78 91 69
50 53 97
2 80 30
53 91 27
19 77 85
7 95 3
32 79 18
53 98 35
81 55 63
39 32 26
62 76 1
52 93 92
47 11 24
83 7 87
39 43 42
79 46 89
8 62 81
62 82 25
48 64 58
46 89 59
98 17 92
55 74 1
9 92 28
95 70 49
59 96 4
88 43 86
101 26 17
91 15 44
25 4 20
57 13 97
59 1 32
82 65 74
91 101 83
60 11 19
38 30 75
74 54 56
91 31 6
10 1 78
22 11 92
49 79 86
11 56 26
36 6 25
91 88 16
7 81 79
49 62 89
21 56 58
33 7 84
94 79 22
88 101 27
24 94 58
85 24 12
58 21 62
60 67 84
3 40 60
72 20 7
40 99 38
34 17 50
94 69 89
71 33 86
55 11 98
82 39 51
55 40 90
30 95 76
77 85 80
0 39 7
2 33 36
2 29 68
11 87 68
60 57 37
101 23 93
96 64 43
85 95 91
66 32 13
74 25 49
13 10 27
11 23 15
64 95 13
35 41 57
44 37 18
7 35 38
54 85 43
69 46 10
33 89 86
55 30 96
51 95 78
93 30 95
85 65 77
3 2 70
26 86 33
79 16 45
25 89 81
90 35 47
93 17 70
96 85 60
89 19 32
53 96 1
63 32 3
73 37 45
4 1 33
60 75 86
47 36 55
66 67 49
35 67 36
49 41 35
13 33 23
67 37 10
31 12 30
84 43 50
55 12 52
79 56 53
80 76 70
49 23 65
86 10 0
99 97 82
78 75 15
0 46 32
61 74 52
96 76 57
63 26 78
71 54 68
77 73 18
59 27 51
83 54 91
74 41 52
68 20 68
29 31 3
97 72 88
78 98 26
22 12 1
23 61 26
76 82 99
87 85 97
17 6 49
87 36 94
19 11 94
14 71 28
36 39 77
1 87 32
92 48 6
41 4 80
16 65 64
100 74 3
88 91 1
21 26 58
73 67 53
27 1 17
75 72 76
95 46 66
0 20 5
50 71 40
54 33 5
15 23 47
85 46 12
100 90 89
9 93 51
55 51 3
43 56 63
85 88 90
72 73 50
33 41 72
32 37 48
99 6 75
29 28 41
24 82 65
73 82 20
30 71 50
16 96 0
21 49 44
85 9 72
3 19 56
29 0 28
46 21 52
74 33 87
35 18 25
63 94 62
73 74 97
98 73 55
83 58 93
64 84 89
20 88 40
26 25 96
22 98 79
23 32 96
41 33 20
65 74 35
23 27 80
53 40 70
69 74 41
62 44 62
72 19 37
60 91 55
7 16 54
38 31 47
59 6 11
2 22 62
3 57 33
56 16 70
45 40 87
55 97 29
88 62 88
101 99 19
54 101 75
32 92 91
59 76 24
49 69 12
18 97 48
77 9 76
38 32 68
8 72 45
57 101 80
3 83 82
62 65 6
3 17 59
69 84 47
96 23 23
66 80 90
75 70 57
49 12 49
94 41 24
74 16 60
65 81 71
13 41 34
5 100 25
22 69 0
10 36 8
63 50 4
27 79 57
39 29 39
70 73 61
32 20 67
27 8 49
59 80 0
57 91 7
43 52 47
7 36 18
84 25 50
89 62 81
49 21 24
27 100 66
47 99 88
13 8 89
2 98 39
4 29 91
45 70 46
101 54 80
4 61 56
18 45 61
35 53 25
92 74 31
50 9 32
19 88 99
67 16 21
68 74 88
93 67 18
91 22 70
40 69 50
100 18 47
79 29 17
61 54 51
61 98 1
21 5 61
33 32 77
93 62 39
0 9 41
26 72 4
65 44 15
76 34 5
77 31 47
9 67 48
16 30 56
40 87 80
69 6 54
78 63 8
44 20 11
45 80 87
49 1 98
83 13 31
63 90 76
68 66 77
31 53 98
1 65 52
57 21 42
61 15 92
78 77 5
43 63 95
31 99 8
97 5 6
84 69 23
96 20 92
43 85 55
70 16 46
87 84 27
70 39 19
68 82 3
2 49 90
51 71 42
46 72 59
67 101 98
95 53 5
96 1 71
31 64 45
32 19 78
8 46 94
91 10 90
97 48 78
101 97 60
21 89 93
85 4 49
68 12 89
99 68 66
61 33 19
59 62 48
8 64 67
44 85 65
4 66 68
47 31 54
56 6 47
83 32 5
8 87 78
10 93 47
35 84 54
39 68 45
72 42 25
33 57 40
24 98 53
34 56 96
97 53 60
90 51 12
56 60 56
14 58 95
10 86 61
84 62 69
26 30 12
71 9 34
23 75 37
19 28 49
64 96 7
48 95 95
73 17 29
76 57 4
29 5 6
17 3 83
88 28 7
65 68 70
79 71 17
83 23 53
60 20 6
37 23 80
25 84 75
40 38 28
24 92 6
14 90 65
80 46 35
87 53 67
43 26 14
47 46 4
95 69 81
61 90 21
40 41 36
51 24 71
99 80 45
69 37 23
13 14 28
91 90 21
67 12 50
42 77 86
45 33 7
62 49 53
9 14 94
93 0 82
32 59 32
5 61 52
29 40 62
97 56 89
40 52 41
