29 189
39 6 84
28 57 63
5 33 16
60 37 1
31 41 27
8 5 15
50 19 79
33 11 46
49 45 16
1 4 52
9 18 84
19 12 66
16 42 96
2 46 86
26 22 68
49 18 57
10 36 3
44 36 6
32 27 94
34 36 83
20 26 61
47 15 47
12 23 14
29 31 71
7 5 4
50 23 6
17 14 94
18 30 34
44 60 73
15 50 31
45 11 24
3 14 31
19 38 75
15 41 37
10 57 10
53 31 9
38 2 7
56 23 62
46 53 51
10 18 91
39 43 38
45 48 39
20 47 72
48 54 36
52 29 72
44 21 55
8 21 34
40 5 5
51 29 67
43 5 51
17 43 68
8 3 45
41 39 0
34 57 85
8 52 20
18 22 97
36 46 99
11 2 93
21 2 15
59 15 75
48 47 65
25 1 51
56 46 61
28 55 35
48 36 99
52 2 72
7 54 40
15 25 44
43 42 90
31 37 53
49 39 53
37 48 50
24 22 58
48 40 10
14 1 77
24 12 75
60 24 37
1 35 21
25 29 98
59 27 12
26 41 57
55 28 9
24 4 73
2 43 54
55 7 20
24 10 35
51 58 91
56 58 97
4 1 51
49 48 77
0 10 31
51 47 50
25 19 77
28 16 29
57 8 72
14 2 24
11 35 82
37 52 4
49 24 28
45 12 68
33 51 22
5 12 68
21 23 88
32 13 3
27 57 3
30 31 95
40 50 37
60 50 69
36 7 44
5 11 64
57 6 72
24 14 95
42 40 43
1 45 19
23 17 59
4 25 99
38 10 9
54 41 52
33 12 62
20 21 50
53 14 15
58 18 55
0 59 31
48 7 82
42 29 86
9 22 89
57 33 18
33 30 65
5 44 33
20 55 48
5 4 69
59 9 78
12 20 60
3 19 81
57 28 69
4 18 62
19 3 22
20 30 61
38 6 66
19 32 80
24 6 37
10 44 10
24 42 63
45 37 13
48 50 27
16 60 43
39 12 54
20 41 7
50 1 69
36 53 70
56 2 92
51 34 35
15 28 1
43 18 10
11 37 92
8 36 46
10 5 73
13 32 69
41 0 30
4 29 26
43 19 17
3 21 81
45 56 88
14 0 16
11 3 44
37 10 80
12 38 57
30 26 94
55 31 32
9 37 64
48 34 43
6 53 61
3 44 26
11 6 74
10 8 72
45 32 2
32 9 10
43 8 21
26 54 76
10 42 70
24 15 82
18 51 90
31 48 19
39 13 32
54 25 38
54 39 53
0 47 19
30 10 68
23 51 84
56 49 74
1 24 87
49 52 35
29 17 2
22 37 86
59 1 69
7 23 88
48 31 42
41 15 52
30 35 97
4 57 59
21 16 92
20 38 30
44 23 4
36 27 73
6 19 8
2 34 99
47 21 67
30 49 95
6 17 87
54 0 81
40 42 89
13 34 15
20 13 96
35 3 69
28 52 50
28 21 10
7 42 83
22 54 72
27 8 28
26 23 97
4 47 46
11 30 27
49 37 84
10 27 44
46 0 99
46 13 39
47 41 10
27 24 30
15 21 50
20 17 71
39 47 60
28 48 58
28 54 24
4 9 24
48 5 56
22 32 76
20 27 71
34 40 53
38 41 38
43 45 87
47 2 89
60 51 68
2 25 82
47 48 85
47 18 74
60 19 73
29 0 44
58 43 16
40 1 98
47 4 65
23 53 31
4 3 25
22 35 93
17 57 38
16 46 73
59 36 97
54 26 6
13 45 33
58 33 88
7 26 98
10 22 65
10 54 65
55 27 17
54 33 79
43 51 79
43 33 60
11 60 70
18 3 99
36 16 86
43 14 8
19 20 53
32 30 89
42 1 16
41 8 70
25 51 47
56 22 46
3 5 59
38 22 47
4 14 88
53 38 81
30 39 63
5 37 53
2 28 80
16 3 2
28 53 43
21 42 56
58 50 53
41 24 90
50 16 52
13 10 25
39 17 93
51 57 43
58 46 80
57 27 19
28 19 80
21 27 38
3 41 62
3 1 26
12 42 20
40 47 96
46 41 41
44 12 80
29 49 50
39 9 49
17 25 80
59 54 61
59 60 80
60 58 12
45 44 92
56 24 29
18 59 51
31 51 10
53 46 15
35 26 84
14 51 71
35 16 81
21 26 85
37 50 48
58 14 66
39 19 9
44 35 19
44 7 45
5 2 57
0 42 93
16 13 17
27 40 84
23 54 71
21 1 32
23 55 97
44 58 25
59 29 26
3 35 49
28 14 62
44 41 39
8 58 45
41 2 40
52 7 20
43 50 5
20 15 21
7 58 4
52 53 14
17 10 74
35 27 79
18 50 54
5 10 43
54 16 20
7 48 66
20 8 12
20 1 87
41 30 34
41 55 8
57 11 64
1 54 56
58 36 71
55 51 81
35 53 98
10 15 14
12 29 70
20 11 17
22 41 27
31 19 13
41 40 99
14 38 70
50 13 7
34 45 88
34 50 50
9 52 22
16 18 37
7 3 2
6 44 68
15 45 96
3 8 25
31 40 65
2 6 12
55 43 97
34 21 63
28 26 40
25 6 28
60 52 53
0 11 88
23 44 8
17 56 91
9 51 9
18 54 27
14 27 55
23 4 78
57 36 51
49 53 74
8 6 52
25 39 22
0 51 95
33 15 21
33 16 88
40 32 85
42 58 51
4 42 80
13 46 64
47 45 76
28 8 56
38 12 98
10 28 0
3 45 65
24 9 75
51 15 99
15 52 76
21 45 88
53 29 94
17 16 29
29 47 21
14 60 63
44 37 34
42 9 43
56 8 3
54 51 13
44 25 55
40 12 57
48 42 34
45 55 93
41 18 73
36 6 95
37 23 39
14 30 64
15 55 39
25 55 57
33 19 44
53 4 32
33 10 97
36 54 88
8 55 21
19 58 40
6 34 21
36 25 31
33 36 82
60 33 46
30 27 37
32 54 63
6 47 26
17 37 41
41 17 75
25 41 38
10 12 48
60 44 51
48 43 16
15 56 67
17 36 75
9 49 62
36 17 47
14 34 69
15 59 72
23 47 6
59 47 56
25 30 8
28 2 47
30 38 24
2 12 57
11 13 47
38 21 6
46 5 56
29 53 2
42 27 61
5 38 5
2 1 28
32 40 21
0 15 25
22 42 42
33 54 38
41 9 20
36 8 28
29 38 17
30 15 22
35 18 58
6 23 92
39 53 16
19 48 29
11 42 48
37 17 13
28 4 31
21 24 35
39 30 27
48 46 96
56 35 22
56 38 48
56 14 82
40 2 29
49 12 36
16 39 56
5 43 51
57 4 63
18 19 87
6 32 44
51 53 79
28 39 56
60 22 75
22 48 6
31 22 16
3 59 12
40 19 78
27 29 21
20 6 6
10 21 48
36 9 32
20 49 57
32 18 84
21 10 71
13 42 35
41 32 69
59 53 8
9 2 89
57 38 98
34 56 93
0 48 84
49 57 18
14 39 49
19 4 32
46 23 58
39 23 22
2 53 90
15 13 1
41 42 29
35 19 53
47 55 26
27 30 84
33 35 71
34 27 73
10 25 68
55 45 55
42 26 49
7 30 18
36 47 89
52 59 24
51 18 83
44 15 92
54 34 36
24 30 39
50 27 83
27 17 3
24 56 56
31 32 79
56 1 73
28 10 86
54 13 7
7 4 86
51 12 25
50 53 4
56 32 33
26 38 1
31 55 43
18 16 74
21 20 91
31 52 58
11 21 93
39 46 84
52 27 44
25 10 83
60 35 13
58 59 32
36 56 0
32 10 24
41 47 83
54 59 23
18 56 38
16 41 12
35 54 47
9 56 23
35 37 6
33 42 90
22 21 14
26 57 77
5 26 5
33 21 0
26 9 33
58 8 4
46 49 42
43 0 17
27 32 40
58 38 14
48 33 81
28 33 87
28 40 91
60 49 94
51 48 74
11 44 81
21 49 6
46 2 80
1 29 36
20 57 54
54 52 57
4 0 76
46 44 83
46 10 36
4 43 48
57 49 9
54 44 96
33 22 86
8 43 52
34 41 44
51 54 30
13 17 94
27 1 64
28 43 1
53 16 51
40 8 7
33 28 75
47 25 95
24 37 44
26 16 58
40 55 27
45 14 58
26 19 6
4 46 26
3 54 65
25 44 93
3 34 14
48 56 9
59 17 40
56 28 4
45 41 86
52 23 58
37 44 42
8 13 61
9 7 1
39 22 34
41 11 31
6 22 54
47 16 15
29 55 46
37 18 12
7 50 34
31 60 40
3 37 40
8 44 34
21 17 39
45 59 62
57 16 86
55 23 73
47 36 67
48 57 41
60 30 10
3 55 70
5 24 57
60 31 54
43 26 53
47 24 20
11 9 19
0 41 88
51 7 19
31 30 10
10 48 62
12 28 69
52 17 63
18 38 30
45 31 43
2 5 44
56 34 82
24 55 85
7 2 26
25 26 73
14 24 17
47 35 78
45 4 37
42 17 92
12 17 41
3 18 45
58 6 24
17 13 7
27 7 67
29 58 13
59 45 74
36 32 80
52 35 16
23 32 70
35 49 5
50 0 43
51 2 41
30 36 61
55 52 64
57 20 3
33 48 78
28 32 20
0 20 60
37 35 11
25 4 84
51 16 92
42 53 33
49 3 80
19 40 7
58 20 5
17 38 61
9 59 78
53 6 95
17 21 68
12 41 81
37 28 63
25 46 65
39 1 91
14 54 81
30 47 73
5 59 18
38 14 57
39 2 18
20 24 6
44 30 87
54 1 8
55 56 95
1 15 2
17 49 21
41 34 74
2 57 98
16 22 32
59 28 96
51 50 3
8 24 39
6 26 94
24 31 3
15 33 2
19 56 38
10 50 76
47 11 62
50 42 30
58 22 84
7 1 44
13 57 80
20 29 45
14 37 49
10 14 23
39 57 32
19 11 44
29 4 58
53 7 73
35 42 39
17 11 62
44 19 37
47 51 53
4 59 19
19 59 6
37 19 33
27 52 19
19 13 64
48 60 7
58 42 85
42 4 17
48 13 93
32 12 22
8 0 50
7 6 9
52 21 22
39 10 40
19 52 58
4 7 70
46 50 86
47 33 20
45 17 72
18 12 82
16 4 40
52 46 87
49 2 22
59 31 27
22 24 59
48 28 16
15 49 56
40 24 69
40 52 75
50 26 44
52 39 84
59 35 78
16 28 14
32 26 26
12 43 30
24 40 71
20 60 76
60 9 71
51 26 9
60 18 37
53 45 6
57 44 84
3 36 1
58 52 92
20 44 3
46 9 47
10 32 89
59 21 57
26 15 54
26 40 74
50 43 53
40 11 11
27 47 29
4 45 43
34 1 12
57 1 15
24 41 97
45 0 37
14 56 96
31 198
15 1 61
16 27 91
7 30 4
28 1 10
0 16 9
28 22 43
20 15 80
30 22 69
7 14 49
4 26 82
5 12 77
25 22 38
23 22 9
9 6 64
0 4 83
13 7 10
30 8 42
12 10 38
0 25 74
19 21 49
9 4 30
15 30 77
18 6 57
19 7 91
18 24 10
0 6 90
28 0 63
26 16 99
27 6 58
18 10 16
9 22 59
24 7 87
22 10 67
19 16 70
18 8 64
3 11 5
5 17 83
13 23 47
27 1 48
6 3 73
6 2 56
28 5 41
25 7 32
19 12 26
8 29 18
15 3 25
9 18 40
25 24 85
20 5 4
7 23 52
26 3 83
23 18 88
25 17 37
24 19 44
26 29 6
20 11 90
16 21 69
25 12 92
2 24 51
4 11 70
22 8 55
18 21 91
7 13 96
20 16 50
14 18 60
8 23 93
11 0 42
28 11 63
2 19 18
14 26 78
14 8 90
6 30 42
5 18 98
30 29 59
8 26 14
0 19 75
8 27 16
29 14 83
18 2 50
9 2 41
24 25 47
16 14 14
16 10 6
0 1 67
27 28 64
27 20 77
30 25 98
29 4 4
4 9 64
11 3 65
17 21 29
2 10 91
3 22 70
5 25 96
3 21 9
0 5 80
9 8 69
5 11 41
13 27 90
25 23 81
7 9 0
10 2 36
29 21 9
21 7 23
14 21 65
8 24 79
22 6 20
25 16 6
23 7 45
16 19 76
23 24 61
1 4 10
17 14 17
2 28 66
14 22 48
1 9 81
15 24 3
22 24 92
11 30 49
27 12 62
4 28 85
11 10 76
11 17 43
16 3 70
17 29 24
27 14 43
26 21 37
14 27 94
21 9 93
19 23 20
20 17 82
29 15 81
17 4 19
15 6 1
7 20 50
7 26 99
22 17 86
21 22 24
15 23 17
21 12 16
12 1 82
16 26 33
27 15 25
4 22 79
26 2 99
10 15 6
2 15 13
1 25 32
23 11 89
20 8 39
18 4 78
28 19 70
26 10 40
26 11 46
1 30 44
28 17 96
5 9 89
8 28 12
30 15 53
7 21 81
14 3 88
27 24 30
3 13 40
3 9 77
3 10 52
10 22 4
14 20 52
5 7 54
28 29 32
12 3 53
13 12 97
2 18 96
13 22 58
9 7 1
8 21 90
23 2 22
16 28 55
15 2 7
7 1 58
19 1 94
10 14 61
29 10 29
21 10 23
3 5 25
19 29 79
27 2 11
20 9 92
20 25 67
5 29 23
26 1 13
16 7 57
21 6 85
1 24 79
28 9 9
11 24 64
30 16 64
9 20 16
22 12 58
110 2683
4 45 24
14 32 8
13 70 45
7 27 82
72 47 90
31 55 11
15 18 27
3 16 93
32 93 60
37 70 68
4 77 49
89 9 34
28 24 18
30 87 13
61 60 78
53 24 67
90 109 3
53 51 99
102 1 79
17 10 96
103 52 41
39 67 92
57 2 87
78 73 29
90 39 48
14 22 79
88 63 85
106 20 93
73 70 24
34 97 26
91 29 76
4 63 26
85 91 56
16 28 5
47 53 4
24 104 12
81 66 48
79 16 46
1 35 20
57 85 48
93 38 98
3 8 93
0 64 90
59 109 79
30 17 40
41 55 95
0 29 31
44 54 79
62 72 28
106 71 79
109 2 69
50 64 33
91 66 40
9 101 55
50 2 20
52 33 3
26 105 31
85 71 84
16 59 34
29 93 9
50 28 16
64 85 42
65 45 39
105 55 80
28 15 51
31 65 41
78 10 49
3 35 81
74 12 25
11 98 55
14 49 1
7 98 39
79 72 93
70 51 48
68 43 22
106 1 10
13 104 4
108 45 6
88 107 91
51 39 87
90 6 80
84 27 71
96 46 80
43 5 99
43 55 13
12 0 92
19 99 35
105 63 49
78 54 53
1 62 16
40 25 61
38 19 51
53 8 52
96 73 63
44 28 7
98 53 70
36 48 63
82 74 12
17 72 56
11 48 35
94 19 10
88 94 29
8 38 98
60 108 42
45 15 0
66 36 76
13 3 11
56 46 49
24 32 45
23 52 24
99 49 27
24 7 98
52 39 57
109 86 60
39 46 36
95 71 62
52 77 65
41 76 54
35 60 69
30 53 85
41 81 62
106 102 70
69 47 48
12 34 45
55 45 25
67 104 6
96 55 58
105 1 14
38 81 37
28 96 72
93 30 3
39 92 38
59 62 42
79 57 24
51 62 59
109 49 79
27 102 15
46 20 97
68 87 0
76 57 44
50 65 93
46 81 26
24 66 46
11 105 13
19 17 47
104 87 34
1 15 74
93 94 33
23 35 84
85 33 47
104 82 56
18 11 89
70 90 49
56 28 18
52 21 94
11 73 76
0 48 67
74 41 41
68 104 71
24 100 2
72 55 2
49 90 97
85 74 77
0 94 37
50 101 40
18 107 98
26 31 88
101 26 83
35 10 11
2 81 32
45 54 85
39 104 9
104 98 77
37 106 41
79 45 93
31 82 43
41 93 83
1 96 89
59 50 64
33 93 86
101 29 39
16 27 64
37 41 23
23 56 34
74 14 66
68 28 57
54 96 30
45 52 67
62 28 91
76 25 24
109 19 2
99 26 95
53 50 49
70 66 82
103 82 84
104 32 40
26 42 55
22 10 54
65 90 81
21 95 93
100 50 35
30 11 29
55 99 18
7 62 37
22 26 78
30 67 85
86 39 98
23 43 71
65 15 31
37 99 21
15 37 6
72 50 1
35 22 64
87 90 49
49 52 30
32 82 49
30 68 98
38 9 93
20 43 52
84 23 97
50 83 6
70 78 61
40 96 46
15 64 91
70 97 29
75 66 18
80 8 3
37 47 26
42 52 5
37 50 66
96 3 37
81 60 79
66 17 34
40 88 81
28 49 10
81 74 55
27 3 27
32 29 5
87 6 46
82 24 59
106 16 44
16 29 44
70 2 68
77 0 7
72 57 47
96 7 86
90 4 82
63 61 40
11 18 28
23 55 37
58 13 27
63 0 36
100 66 68
41 29 50
51 102 47
74 84 43
46 101 22
52 75 6
24 40 33
42 14 57
47 59 66
64 31 4
49 87 54
79 84 57
28 3 0
12 105 64
32 2 78
61 33 48
0 7 76
62 90 12
42 94 55
7 38 88
75 51 93
67 78 23
95 14 80
12 61 57
12 90 49
108 59 89
62 66 92
89 43 70
103 108 42
57 31 49
61 53 71
55 85 39
23 108 62
82 6 12
67 2 69
55 57 1
67 21 23
97 79 22
57 109 6
36 65 6
79 58 39
78 98 81
13 75 85
0 43 93
63 107 25
97 57 16
51 25 78
60 59 7
18 65 76
58 19 51
100 77 96
24 91 12
0 93 63
15 72 36
18 33 71
45 30 85
1 98 31
76 51 13
91 85 54
50 53 4
103 49 79
40 92 12
6 46 19
6 70 20
68 20 18
19 13 28
106 7 26
11 89 80
94 79 1
89 5 96
109 25 51
4 50 82
100 25 9
96 101 25
81 97 78
53 68 56
86 72 68
19 14 65
37 77 85
94 87 52
14 66 53
86 61 12
105 64 94
39 61 23
51 36 20
23 26 53
49 38 59
2 82 54
69 95 93
21 91 34
105 89 24
44 10 55
43 93 28
97 21 31
86 0 37
17 1 73
54 89 1
47 24 41
12 21 66
87 16 91
91 59 38
8 30 77
77 94 22
57 45 93
108 89 21
44 41 7
6 99 46
33 2 77
87 109 44
67 61 66
102 94 81
88 73 14
41 48 12
3 62 31
102 85 33
14 6 36
50 93 66
90 57 76
104 78 17
58 37 46
43 106 46
36 74 23
26 4 20
22 15 21
51 109 44
42 91 54
103 30 49
21 31 77
68 93 30
92 75 36
42 21 64
74 31 84
25 88 71
94 66 66
40 70 7
37 40 43
102 11 11
103 60 32
22 40 6
56 53 54
90 71 38
28 108 41
66 29 46
84 82 63
79 31 57
56 29 75
67 15 59
18 56 39
107 28 89
47 95 68
16 34 15
78 76 84
66 16 34
1 106 17
57 21 43
21 3 34
32 42 58
42 17 57
50 27 76
70 5 82
49 70 27
102 3 4
62 51 41
43 11 91
84 29 21
49 60 14
45 74 13
63 34 77
73 90 21
49 59 48
79 1 42
79 62 39
25 49 58
79 51 32
87 95 35
67 89 84
52 5 30
101 76 1
102 35 57
95 64 44
3 61 23
3 108 13
105 83 60
47 61 25
46 71 36
38 43 81
104 67 43
92 56 99
8 71 8
85 32 56
36 58 27
106 73 4
96 84 23
25 55 66
92 20 90
79 69 14
44 86 68
52 57 40
50 74 49
6 81 20
25 103 55
11 108 22
104 1 48
12 48 90
18 49 21
84 79 29
101 64 16
35 78 4
45 19 88
36 98 51
9 29 21
89 107 71
58 49 3
108 44 62
21 85 34
77 98 11
5 88 82
74 104 75
44 87 82
71 101 40
105 98 41
84 57 0
10 74 60
10 91 87
32 6 1
53 52 37
99 90 77
23 99 26
3 46 75
85 83 85
26 33 52
84 0 59
103 85 41
53 107 75
33 98 33
94 86 35
8 105 63
67 17 62
64 108 45
100 26 33
41 103 82
102 53 69
30 64 0
27 4 25
38 17 72
34 0 13
74 92 2
36 73 68
34 48 88
49 19 4
34 25 81
24 63 33
8 29 83
28 70 79
9 27 72
11 53 42
22 5 80
80 83 27
65 97 28
21 66 8
49 68 23
62 83 42
98 21 62
3 37 94
18 1 65
24 109 4
28 83 90
60 50 28
99 95 47
39 54 71
10 106 49
41 17 19
9 88 31
5 94 54
58 79 45
28 58 12
100 31 71
92 35 24
39 95 7
4 101 94
3 106 29
2 71 88
109 43 4
33 103 44
55 20 5
35 44 86
88 43 97
13 17 47
87 103 78
105 28 59
30 21 25
27 58 8
8 86 93
1 84 45
104 9 26
10 49 93
49 77 83
89 60 55
16 41 76
5 17 67
32 52 41
7 29 73
10 85 62
23 101 27
95 19 56
15 34 34
70 29 1
29 91 58
25 101 8
94 41 44
72 29 88
29 2 73
85 64 2
59 58 45
13 72 70
103 91 45
20 22 61
108 75 5
67 62 73
2 42 55
34 38 81
61 4 63
95 66 94
13 31 71
71 50 72
67 72 83
49 64 37
62 2 94
25 44 32
76 33 91
78 16 68
56 106 93
23 30 56
93 100 77
102 55 45
98 16 75
25 47 94
104 74 95
91 86 40
90 56 56
5 74 11
22 36 60
9 71 50
81 29 16
41 64 30
109 40 62
20 14 74
48 64 39
59 47 27
37 9 85
29 27 34
97 54 32
28 54 34
16 60 60
92 105 49
98 1 51
59 53 0
48 79 39
97 33 81
48 80 12
102 83 28
14 11 28
48 10 23
80 73 81
76 0 60
39 102 49
68 9 68
100 38 97
29 88 79
96 66 9
48 94 5
27 50 57
26 36 76
87 86 23
75 59 15
78 45 7
88 92 51
88 62 88
94 29 95
69 65 29
14 42 83
40 15 86
56 86 19
25 18 64
26 32 64
31 43 23
48 84 33
47 90 50
33 4 84
39 52 21
31 21 96
57 16 78
9 58 75
65 34 54
95 81 81
64 81 39
64 26 71
32 37 80
97 42 86
50 85 95
13 82 6
105 92 13
98 13 96
44 4 20
76 81 39
72 1 57
69 87 81
88 76 2
77 71 93
53 59 59
77 82 73
58 24 1
90 70 54
51 104 77
54 91 31
3 15 53
59 101 89
59 95 75
70 14 65
70 77 51
11 35 41
101 44 47
66 51 64
93 109 7
99 66 50
84 1 7
89 72 51
49 12 46
18 43 9
9 41 95
35 20 25
83 32 88
18 20 36
13 95 77
39 85 10
70 40 92
82 58 86
64 14 76
93 26 30
56 93 1
51 9 22
18 28 10
108 40 21
53 100 83
59 48 75
14 80 23
104 34 60
61 3 57
80 35 89
64 99 33
15 90 66
90 20 44
60 85 33
28 7 91
71 16 36
27 67 37
44 82 46
0 17 59
96 88 95
5 69 73
74 73 24
64 2 52
55 25 13
75 91 89
33 23 47
29 68 63
78 32 53
72 44 24
92 87 44
82 103 46
8 59 94
98 3 51
48 86 83
67 68 84
82 37 59
41 34 8
26 20 48
52 97 72
109 34 26
69 25 88
69 1 0
104 58 78
14 40 16
74 19 47
16 72 48
11 13 68
15 102 97
59 26 83
74 76 59
69 66 9
108 9 71
37 92 22
69 59 30
9 105 37
37 16 98
95 39 52
33 56 11
109 98 40
34 43 51
97 89 64
23 73 97
49 7 95
97 106 2
15 1 27
85 72 78
39 101 88
20 75 66
54 5 2
78 31 98
22 9 85
95 70 97
92 45 24
98 8 93
28 2 48
33 85 5
87 88 57
33 107 7
22 44 53
105 99 17
41 50 94
33 101 40
95 57 88
91 32 45
66 70 85
49 83 8
107 104 83
79 105 82
101 95 62
77 66 40
3 53 33
66 57 89
63 87 19
8 69 35
37 22 8
53 105 9
100 29 10
93 91 70
78 2 81
52 14 3
22 37 2
59 4 19
93 77 28
15 76 88
43 13 79
40 94 44
12 87 31
3 22 84
26 19 66
51 108 23
105 96 77
8 99 41
32 56 99
81 106 53
82 94 94
57 9 88
20 34 33
28 60 26
22 42 38
85 53 82
31 54 35
83 24 18
105 102 13
76 64 0
1 81 61
22 19 94
46 37 6
104 49 79
55 26 45
11 23 48
21 74 15
56 84 29
77 41 37
96 45 95
78 72 24
13 12 35
78 8 78
82 13 2
35 83 61
45 4 56
70 54 94
94 64 77
52 65 19
79 37 30
62 104 19
47 7 7
26 14 48
65 53 49
0 79 80
15 63 74
11 29 13
16 61 76
68 34 34
57 4 77
80 46 37
42 1 31
47 101 9
34 77 61
65 68 10
99 0 42
39 82 8
83 61 61
86 13 83
26 66 16
99 37 82
45 107 69
96 80 64
46 91 33
53 56 33
51 99 63
77 78 64
68 29 82
59 45 55
82 28 34
82 4 20
82 93 92
93 79 65
56 96 26
3 73 17
81 27 70
46 44 18
32 15 8
39 13 22
61 95 99
7 86 47
1 85 83
65 98 98
75 63 80
107 31 37
1 77 24
101 52 96
17 49 65
96 102 13
39 27 73
49 82 96
50 102 62
66 60 14
55 58 3
96 81 10
39 72 62
23 91 47
106 60 54
96 75 56
91 12 42
64 61 44
8 89 34
72 109 40
75 28 45
47 105 6
105 49 93
6 22 34
73 7 26
78 49 96
36 13 91
59 83 47
52 90 37
21 80 75
30 92 49
101 56 50
43 100 14
107 23 40
33 49 87
47 97 47
52 44 89
103 54 50
92 33 1
36 45 79
41 59 3
11 47 81
36 27 14
50 6 12
2 98 45
109 90 3
97 16 40
102 90 48
84 40 47
5 89 8
97 56 89
58 65 22
64 38 66
53 67 75
0 14 89
7 65 63
31 6 51
96 41 46
62 87 15
23 104 15
34 56 69
38 102 74
100 36 77
34 57 79
67 100 27
58 40 41
52 42 6
106 9 59
17 94 47
53 13 48
0 83 12
2 105 61
2 62 89
98 9 29
56 25 44
23 62 15
63 8 71
6 73 56
24 68 33
98 10 87
58 20 43
28 76 11
95 47 60
48 69 85
76 28 90
3 63 83
103 21 15
46 0 17
11 26 1
66 23 64
78 29 49
47 26 73
13 8 70
19 28 15
42 26 95
67 47 87
54 79 49
26 81 12
65 18 17
67 33 72
76 96 24
8 95 15
37 21 3
19 25 4
37 78 52
49 93 84
106 11 78
39 7 37
17 63 58
62 93 34
19 32 84
89 86 46
44 69 2
70 41 74
74 26 7
82 53 6
79 29 39
79 82 1
64 91 67
67 102 43
103 77 92
12 69 17
9 7 59
45 36 64
35 75 26
12 85 67
83 19 59
58 21 23
37 26 77
108 24 33
69 88 73
68 47 24
6 40 42
69 85 49
7 54 65
1 9 98
88 67 45
58 91 54
30 80 60
103 78 0
23 41 51
15 108 89
19 83 96
7 89 65
40 27 33
12 74 63
20 61 32
20 59 93
27 69 7
21 52 56
18 87 31
3 25 2
107 26 82
55 33 98
59 33 69
67 32 10
18 79 33
106 19 19
44 17 41
5 53 28
17 34 13
47 45 8
90 8 50
74 25 73
3 18 55
109 88 70
16 95 76
57 58 90
90 75 49
109 8 71
80 81 14
102 0 61
81 93 87
74 107 62
16 2 13
46 72 58
22 49 35
93 18 0
69 8 81
56 83 21
80 15 31
42 19 5
66 109 95
11 57 42
109 14 23
73 87 5
48 66 61
76 105 37
5 25 9
85 80 49
75 95 87
56 85 5
107 76 47
0 4 31
12 77 58
40 43 62
14 10 37
48 60 75
96 100 91
35 45 30
77 47 32
100 33 40
5 13 69
43 24 0
57 0 99
39 36 50
73 17 81
66 14 40
77 88 75
73 9 47
35 55 48
59 23 28
26 70 76
34 41 22
21 12 34
92 40 65
93 8 32
39 91 20
76 14 15
21 77 97
48 16 64
2 80 85
